review,subtheme_1,subtheme_2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,cleaned_review,subthemes,subtheme_sentiments
"You make the whole start to finish process of tyre replacement so easy. For the customer it starts by you offering a wide range of tyres at very good prices, along with enough information about the tyres for us to make an informedchoice. We choose and pay for the tyres, just one payment, no hidden extras. They are delivered to the our choice of fitting centres very quickly and a slot for fitting is booked. Your service really gives so much choice and control to the customer. For me there's no other way to replace my tyres.",extra charges positive,ease of booking positive,value for money positive,,,,,,,,,,,,"make whole start finish process tyre replacement easy . customer start offering wide range tyre good price , along enough information tyre u make informedchoice . choose pay tyre , one payment , hidden extra . delivered choice fitting centre quickly slot fitting booked . service really give much choice control customer . 's way replace tyre .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'positive'), ('Ease of booking', 'aspect', 'positive')]"
4 x Avon tyres at a really good price and fitted at a really good garage 3 miles from home. I even got a free 'posh' coffee in their comfy air-conditioned cafe while I waited.,facilities positive,garage service positive,location positive,value for money positive,,,,,,,,,,,4 x avon tyre really good price fitted really good garage 3 mile home . even got free 'posh ' coffee comfy air-conditioned cafe waited .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
4 x Avon tyres at a really good price and fitted at a really good garage just 3 miles from my home. Even got a free 'posh' coffee while I waited in their comfy air-conditioned cafe.,location positive,garage service positive,value for money positive,facilities positive,,,,,,,,,,,4 x avon tyre really good price fitted really good garage 3 mile home . even got free 'posh ' coffee waited comfy air-conditioned cafe .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Great service, easy process from start to fitting! Will certainly use again in the future.",garage service positive,,,,,,,,,,,,,,"great service , easy process start fitting ! certainly use future .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Process good. Shame fitters aren’t the same,garage service negative,,,,,,,,,,,,,,process good . shame fitter ’,[],[]
"The tyre was good value for money and it was delivered promptly to the garage of my choice,this the first time I have ordered tyres but I will do so again.",value for money positive,delivery punctuality positive,,,,,,,,,,,,,"tyre good value money delivered promptly garage choice , first time ordered tyre .","[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Tyres are good customer service and booking bad. Tyres are good, price is good. Customer service and booking have been terrible on this occasion. Booked to have the Tyres done at a local garage on Thursday, they tell me less than 24 hours before that they can't get the tyres there on time. They give me a new suggested date which I immediately told them was not suitable and suggested I can do today instead. Got no response back on this for another 48 hours, then get an email today telling me I can take it in today. Weekend plans ruined as a result of not having tyres ready.",response time negative,tyre quality positive,ease of booking negative,advisoragent service negative,value for money positive,,,,,,,,,,"tyre good customer service booking bad . tyre good , price good . customer service booking terrible occasion . booked tyre done local garage thursday , tell le 24 hour ca n't get tyre time . give new suggested date immediately told suitable suggested today instead . got response back another 48 hour , get email today telling take today . weekend plan ruined result tyre ready .","[('Garage service', 'aspect'), ('Ease of booking', 'aspect')]","[('Garage service', 'aspect', 'negative'), ('Ease of booking', 'aspect', 'negative')]"
First time using this service. [REDACTED] changed my appointment three times.,ease of booking negative,change of date negative,,,,,,,,,,,,,first time using service . [ redacted ] changed appointment three time .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'neutral')]"
"straightforward to use, good prices, choice of fitting providers.Good overall experience.",value for money positive,,,,,,,,,,,,,,"straightforward use , good price , choice fitting providers.good overall experience .",[],[]
"Work completed within the allotted time frame, friendly staff",length of fitting positive,garage service positive,,,,,,,,,,,,,"work completed within allotted time frame , friendly staff",[],[]
It is just so easy and hassle free. Straightforward tyre selection and payment and choosing a convenient garage to fit them is the icing on the cake.,ease of booking positive,,,,,,,,,,,,,,easy hassle free . straightforward tyre selection payment choosing convenient garage fit icing cake .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
Good prices on tyres and delivered as they said.,value for money positive,delivery punctuality positive,,,,,,,,,,,,,good price tyre delivered said .,[],[]
Very easy to order and book tyre fitting locally,ease of booking positive,location positive,,,,,,,,,,,,,easy order book tyre fitting locally,"[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
Great service. Great prices. Cannot fault anything - I have already recommended to a friend who has purchased through you.,value for money positive,,,,,,,,,,,,,,great service . great price . fault anything - already recommended friend purchased .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
The service was excellent from ordering to fitting.,garage service positive,,,,,,,,,,,,,,service excellent ordering fitting .,"[('Garage service', 'aspect')]","[('Garage service', 'aspect', 'positive')]"
"Very easy to book, good prices, recommended",value for money positive,ease of booking positive,,,,,,,,,,,,,"easy book , good price , recommended","[('Ease of booking', 'aspect')]","[('Ease of booking', 'aspect', 'positive')]"
